,28079008,28079024,28079055
2017-01-05 03:00:00,1.76,1.31,1.91
2017-01-05 04:00:00,2.22,1.48,1.82
2017-01-05 05:00:00,2.32,1.85,1.63
2017-01-05 06:00:00,2.0,1.71,1.45
2017-01-05 07:00:00,2.06,1.56,1.41
2017-01-05 08:00:00,2.08,1.53,1.41
2017-01-05 09:00:00,2.11,1.57,1.41
2017-01-05 10:00:00,2.22,1.55,1.43
2017-01-05 11:00:00,2.19,1.54,1.45
2017-01-05 12:00:00,2.2,1.55,1.43
2017-01-05 13:00:00,2.32,1.54,1.45
2017-01-05 14:00:00,2.3,1.52,1.48
2017-01-05 15:00:00,2.23,1.44,1.55
2017-01-05 16:00:00,2.09,1.43,1.55
2017-01-05 17:00:00,2.02,1.35,1.59
2017-01-05 18:00:00,2.07,1.31,1.64
2017-01-05 19:00:00,2.16,1.41,1.63
2017-01-05 20:00:00,2.27,1.46,1.55
2017-01-05 21:00:00,2.3,1.47,1.53
2017-01-05 22:00:00,2.39,1.48,1.64
2017-01-05 23:00:00,2.65,1.51,1.73
2017-01-06 00:00:00,2.52,1.53,1.76
2017-01-06 01:00:00,2.15,1.52,1.94
2017-01-06 02:00:00,2.19,1.49,1.89
2017-01-06 03:00:00,2.43,1.43,1.86
2017-01-06 04:00:00,2.35,1.51,2.01
2017-01-06 05:00:00,2.12,1.47,1.79
2017-01-06 06:00:00,2.05,1.48,1.55
2017-01-06 07:00:00,2.17,1.45,1.85
2017-01-06 08:00:00,1.93,1.45,1.74
2017-01-06 09:00:00,2.26,1.41,1.56
2017-01-06 10:00:00,2.08,1.42,1.51
2017-01-06 11:00:00,1.83,1.43,1.36
2017-01-06 12:00:00,1.83,1.45,1.38
2017-01-06 13:00:00,2.01,1.49,1.42
2017-01-06 14:00:00,1.73,1.7,1.31
2017-01-06 15:00:00,1.71,1.32,1.25
2017-01-06 16:00:00,1.7,1.27,1.23
2017-01-06 17:00:00,1.9,1.29,1.22
2017-01-06 18:00:00,2.25,1.35,1.25
2017-01-06 19:00:00,2.31,1.31,1.29
2017-01-06 20:00:00,2.38,1.31,1.3
2017-01-06 21:00:00,2.14,1.35,1.34
2017-01-06 22:00:00,2.13,1.35,1.36
2017-01-06 23:00:00,2.04,1.37,1.39
2017-01-07 00:00:00,1.93,1.34,1.35
2017-01-07 01:00:00,1.8,1.34,1.32
2017-01-07 02:00:00,1.8,1.32,1.39
2017-01-07 03:00:00,1.77,1.33,1.28
2017-01-07 04:00:00,1.75,1.35,1.31
2017-01-07 05:00:00,1.75,1.34,1.48
2017-01-07 06:00:00,1.73,1.34,1.53
2017-01-07 07:00:00,1.74,1.35,1.41
2017-01-07 08:00:00,1.75,1.32,1.5
2017-01-07 09:00:00,1.78,1.3,1.89
2017-01-07 10:00:00,1.79,1.32,1.47
2017-01-07 11:00:00,1.76,1.33,1.43
2017-01-07 12:00:00,1.79,1.41,1.42
2017-01-07 13:00:00,1.82,1.34,1.37
2017-01-07 14:00:00,1.82,1.31,1.28
2017-01-07 15:00:00,1.78,1.32,1.23
2017-01-07 16:00:00,1.89,1.33,1.25
2017-01-07 17:00:00,2.24,1.36,1.25
2017-01-07 18:00:00,2.06,1.44,1.28
2017-01-07 19:00:00,2.19,1.62,1.57
2017-01-07 20:00:00,2.82,1.57,1.8
2017-01-07 21:00:00,2.26,1.49,1.74
2017-01-07 22:00:00,2.47,1.42,1.76
2017-01-07 23:00:00,2.29,1.35,1.78
2017-01-08 00:00:00,2.37,1.37,1.48
2017-01-08 01:00:00,2.06,1.42,1.39
2017-01-08 02:00:00,1.9,1.4,1.4
2017-01-08 03:00:00,1.84,1.39,1.38
2017-01-08 04:00:00,1.86,1.37,1.45
2017-01-08 05:00:00,1.86,1.4,1.4
2017-01-08 06:00:00,1.83,1.4,1.38
2017-01-08 07:00:00,1.85,1.41,1.39
2017-01-08 08:00:00,1.89,1.39,1.41
2017-01-08 09:00:00,1.88,1.39,1.54
2017-01-08 10:00:00,1.9,1.38,1.44
2017-01-08 11:00:00,2.19,1.39,1.48
2017-01-08 12:00:00,2.19,1.38,1.47
2017-01-08 13:00:00,2.1,1.49,1.48
2017-01-08 14:00:00,2.15,1.54,1.35
2017-01-08 15:00:00,2.13,1.55,1.3
2017-01-08 16:00:00,2.06,1.45,1.27
2017-01-08 17:00:00,1.93,1.28,1.35
2017-01-08 18:00:00,1.84,1.29,1.42
2017-01-08 19:00:00,1.9,1.24,1.46
2017-01-08 20:00:00,1.91,1.26,1.49
2017-01-08 21:00:00,1.97,1.26,1.67
2017-01-08 22:00:00,2.09,1.26,1.46
2017-01-08 23:00:00,1.8,1.3,1.43
2017-01-09 00:00:00,1.82,1.32,1.32
2017-01-09 01:00:00,1.76,1.31,1.37
2017-01-09 02:00:00,1.94,1.33,1.45
2017-01-09 03:00:00,2.0,1.34,1.58
2017-01-09 04:00:00,1.99,1.35,1.78
2017-01-09 05:00:00,2.07,1.35,2.09
2017-01-09 06:00:00,2.12,1.36,1.66
2017-01-09 07:00:00,2.16,1.39,1.89
2017-01-09 08:00:00,2.14,1.38,1.9
2017-01-09 09:00:00,1.99,1.39,1.63
2017-01-09 10:00:00,1.91,1.43,1.43
2017-01-09 11:00:00,1.78,1.44,1.35
2017-01-09 12:00:00,1.78,1.4,1.4
2017-01-09 13:00:00,1.77,1.35,1.34
2017-01-09 14:00:00,1.85,1.12,1.28
2017-01-09 15:00:00,1.9,1.42,1.29
2017-01-09 16:00:00,1.88,1.26,1.32
2017-01-09 17:00:00,1.86,1.23,1.38
2017-01-09 18:00:00,1.82,1.23,1.46
2017-01-09 19:00:00,1.89,1.26,1.48
2017-01-09 20:00:00,1.94,1.26,1.44
2017-01-09 21:00:00,1.95,1.26,1.45
2017-01-09 22:00:00,1.96,1.3,1.51
2017-01-09 23:00:00,1.86,1.29,1.58
2017-01-10 00:00:00,1.95,1.31,1.66
2017-01-10 01:00:00,2.4,1.31,1.77
2017-01-10 02:00:00,2.51,1.3,2.03
2017-01-10 03:00:00,2.33,1.32,1.95
2017-01-10 04:00:00,2.24,1.34,1.67
2017-01-10 05:00:00,2.15,1.33,1.59
2017-01-10 06:00:00,2.76,1.45,1.87
2017-01-10 07:00:00,3.78,1.43,2.06
2017-01-10 08:00:00,4.25,2.28,2.82
2017-01-10 09:00:00,4.45,3.59,3.14
2017-01-10 10:00:00,5.06,3.32,2.11
2017-01-10 11:00:00,3.53,4.35,1.66
2017-01-10 12:00:00,2.89,2.92,1.65
2017-01-10 13:00:00,2.76,1.96,1.57
2017-01-10 14:00:00,2.53,1.78,1.52
2017-01-10 15:00:00,2.26,1.27,1.44
2017-01-10 16:00:00,1.84,1.42,1.33
2017-01-10 17:00:00,1.92,1.36,1.22
2017-01-10 18:00:00,1.84,1.37,1.19
2017-01-10 19:00:00,1.8,1.38,1.22
2017-01-10 20:00:00,1.82,1.36,1.22
2017-01-10 21:00:00,1.82,1.36,1.24
2017-01-10 22:00:00,1.83,1.44,1.21
2017-01-10 23:00:00,1.88,1.47,1.24
2017-01-11 00:00:00,1.99,1.53,1.26
2017-01-11 01:00:00,2.56,1.62,1.27
2017-01-11 02:00:00,4.48,1.6,1.22
2017-01-11 03:00:00,6.08,1.62,1.17
2017-01-11 04:00:00,6.67,1.75,1.21
2017-01-11 05:00:00,2.99,1.63,1.19
2017-01-11 06:00:00,2.54,1.8,1.18
2017-01-11 07:00:00,1.7,1.43,1.17
2017-01-11 08:00:00,1.72,1.29,1.2
2017-01-11 09:00:00,1.78,1.2,1.24
2017-01-11 10:00:00,1.8,1.2,1.27
2017-01-11 11:00:00,1.96,1.41,1.33
2017-01-11 12:00:00,2.1,1.38,1.27
2017-01-11 13:00:00,1.75,1.19,1.17
2017-01-11 14:00:00,1.68,1.16,1.17
2017-01-11 15:00:00,1.69,1.16,1.19
2017-01-11 16:00:00,1.69,1.16,1.18
2017-01-11 17:00:00,1.71,1.17,1.19
2017-01-11 18:00:00,1.76,1.17,1.21
2017-01-11 19:00:00,1.77,1.18,1.19
2017-01-11 20:00:00,1.82,1.18,1.2
2017-01-11 21:00:00,1.88,1.2,1.26
2017-01-11 22:00:00,1.9,1.23,1.32
2017-01-11 23:00:00,1.88,1.23,1.42
2017-01-12 00:00:00,1.94,1.26,1.38
2017-01-12 01:00:00,2.25,1.32,1.32
2017-01-12 02:00:00,2.24,1.26,1.61
2017-01-12 03:00:00,2.16,1.24,1.78
2017-01-12 04:00:00,2.22,1.27,1.63
2017-01-12 05:00:00,2.28,1.27,1.52
2017-01-12 06:00:00,2.21,1.25,1.49
2017-01-12 07:00:00,2.08,1.27,1.45
2017-01-12 08:00:00,2.08,1.31,1.73
2017-01-12 09:00:00,2.09,1.3,1.64
2017-01-12 10:00:00,2.37,1.32,1.73
2017-01-12 11:00:00,2.36,1.32,1.65
2017-01-12 12:00:00,2.01,1.52,1.52
2017-01-12 13:00:00,2.51,1.68,1.48
2017-01-12 14:00:00,2.36,1.24,1.74
2017-01-12 15:00:00,1.76,1.2,1.35
2017-01-12 16:00:00,1.73,1.19,1.22
2017-01-12 17:00:00,1.72,1.19,1.21
2017-01-12 18:00:00,1.75,1.19,1.24
2017-01-12 19:00:00,1.77,1.2,1.24
2017-01-12 20:00:00,1.79,1.2,1.23
2017-01-12 21:00:00,1.81,1.21,1.25
2017-01-12 22:00:00,1.82,1.2,1.24
2017-01-12 23:00:00,1.71,1.2,1.19
2017-01-13 00:00:00,1.65,1.19,1.18
2017-01-13 01:00:00,1.64,1.19,1.18
2017-01-13 02:00:00,1.65,1.18,1.21
2017-01-13 03:00:00,1.63,1.18,1.26
2017-01-13 04:00:00,1.61,1.18,1.21
2017-01-13 05:00:00,1.61,1.17,1.17
2017-01-13 06:00:00,1.6,1.18,1.16
2017-01-13 07:00:00,1.61,1.18,1.17
2017-01-13 08:00:00,1.63,1.18,1.18
2017-01-13 09:00:00,1.69,1.18,1.2
2017-01-13 10:00:00,1.71,1.2,1.21
2017-01-13 11:00:00,1.73,1.2,1.22
2017-01-13 12:00:00,1.73,1.2,1.19
2017-01-13 13:00:00,1.7,1.21,1.18
2017-01-13 14:00:00,1.7,1.2,1.18
2017-01-13 15:00:00,1.71,1.21,1.18
2017-01-13 16:00:00,1.71,1.2,1.19
2017-01-13 17:00:00,1.71,1.2,1.19
2017-01-13 18:00:00,1.71,1.22,1.2
2017-01-13 19:00:00,1.76,1.2,1.22
2017-01-13 20:00:00,1.81,1.21,1.21
2017-01-13 21:00:00,1.75,1.21,1.21
2017-01-13 22:00:00,1.78,1.2,1.28
2017-01-13 23:00:00,1.77,1.21,1.25
2017-01-14 00:00:00,1.78,1.23,1.27
2017-01-14 01:00:00,1.73,1.23,1.23
2017-01-14 02:00:00,1.73,1.25,1.22
2017-01-14 03:00:00,1.75,1.25,1.25
2017-01-14 04:00:00,1.71,1.25,1.23
2017-01-14 05:00:00,1.76,1.28,1.24
2017-01-14 06:00:00,1.87,1.29,1.24
2017-01-14 07:00:00,1.9,1.27,1.24
2017-01-14 08:00:00,1.97,1.28,1.29
2017-01-14 09:00:00,2.12,1.33,1.29
2017-01-14 10:00:00,2.52,1.35,1.67
2017-01-14 11:00:00,1.98,1.35,1.41
2017-01-14 12:00:00,1.83,1.28,1.26
2017-01-14 13:00:00,1.8,1.24,1.2
2017-01-14 14:00:00,1.75,1.22,1.19
2017-01-14 15:00:00,1.7,1.2,1.19
2017-01-14 16:00:00,1.69,1.2,1.19
2017-01-14 17:00:00,1.69,1.2,1.2
2017-01-14 18:00:00,1.69,1.21,1.21
2017-01-14 19:00:00,1.71,1.23,1.21
2017-01-14 20:00:00,1.74,1.21,1.22
2017-01-14 21:00:00,1.76,1.23,1.24
2017-01-14 22:00:00,1.76,1.22,1.24
2017-01-14 23:00:00,1.77,1.24,1.29
2017-01-15 00:00:00,1.76,1.24,1.26
2017-01-15 01:00:00,1.84,1.25,1.23
2017-01-15 02:00:00,1.85,1.26,1.26
2017-01-15 03:00:00,1.77,1.25,1.37
2017-01-15 04:00:00,1.73,1.25,1.41
2017-01-15 05:00:00,1.74,1.25,1.37
2017-01-15 06:00:00,1.71,1.23,1.69
2017-01-15 07:00:00,1.69,1.2,1.74
2017-01-15 08:00:00,1.69,1.2,1.74
2017-01-15 09:00:00,1.69,1.2,1.34
2017-01-15 10:00:00,1.69,1.2,1.24
2017-01-15 11:00:00,1.68,1.2,1.24
2017-01-15 12:00:00,1.66,1.2,1.21
2017-01-15 13:00:00,1.66,1.2,1.19
2017-01-15 14:00:00,1.67,1.2,1.19
2017-01-15 15:00:00,1.68,1.2,1.19
2017-01-15 16:00:00,1.68,1.2,1.19
2017-01-15 17:00:00,1.68,1.2,1.2
2017-01-15 18:00:00,1.68,1.21,1.2
2017-01-15 19:00:00,1.7,1.21,1.2
2017-01-15 20:00:00,1.74,1.23,1.25
2017-01-15 21:00:00,1.83,1.25,1.27
2017-01-15 22:00:00,1.91,1.26,1.36
2017-01-15 23:00:00,1.88,1.29,1.28
2017-01-16 00:00:00,1.89,1.3,1.21
2017-01-16 01:00:00,2.01,1.32,1.31
2017-01-16 02:00:00,1.9,1.34,1.31
2017-01-16 03:00:00,2.1,1.56,1.26
2017-01-16 04:00:00,1.88,1.42,1.19
2017-01-16 05:00:00,2.32,1.31,1.25
2017-01-16 06:00:00,2.48,1.31,1.36
2017-01-16 07:00:00,2.46,1.29,1.38
2017-01-16 08:00:00,1.94,1.27,1.69
2017-01-16 09:00:00,1.82,1.26,1.83
2017-01-16 10:00:00,1.83,1.27,1.2
2017-01-16 11:00:00,1.86,1.21,1.23
2017-01-16 12:00:00,1.72,1.19,1.21
2017-01-16 13:00:00,1.66,1.19,1.19
2017-01-16 14:00:00,1.67,1.19,1.18
2017-01-16 15:00:00,1.72,1.2,1.19
2017-01-16 16:00:00,1.69,1.2,1.17
2017-01-16 17:00:00,1.69,1.2,1.18
2017-01-16 18:00:00,1.73,1.19,1.19
2017-01-16 19:00:00,1.78,1.2,1.19
2017-01-16 20:00:00,1.81,1.21,1.18
2017-01-16 21:00:00,1.86,1.23,1.22
2017-01-16 22:00:00,1.9,1.23,1.19
2017-01-16 23:00:00,1.84,1.23,1.18
2017-01-17 00:00:00,1.87,1.34,1.17
2017-01-17 01:00:00,1.99,1.29,1.17
2017-01-17 02:00:00,1.91,1.33,1.17
2017-01-17 03:00:00,1.82,1.27,1.19
2017-01-17 04:00:00,1.85,1.25,1.16
2017-01-17 05:00:00,1.75,1.22,1.17
2017-01-17 06:00:00,1.64,1.18,1.21
2017-01-17 07:00:00,1.66,1.18,1.23
2017-01-17 08:00:00,1.71,1.2,1.23
2017-01-17 09:00:00,1.77,1.21,1.18
2017-01-17 10:00:00,1.72,1.22,1.2
2017-01-17 11:00:00,1.73,1.23,1.19
2017-01-17 12:00:00,1.71,1.19,1.21
2017-01-17 13:00:00,1.71,1.22,1.21
2017-01-17 14:00:00,1.71,1.2,1.19
2017-01-17 15:00:00,1.7,1.2,1.19
2017-01-17 16:00:00,1.7,1.2,1.21
2017-01-17 17:00:00,1.71,1.21,1.21
2017-01-17 18:00:00,1.73,1.21,1.2
2017-01-17 19:00:00,1.73,1.27,1.25
2017-01-17 20:00:00,1.74,1.24,1.22
2017-01-17 21:00:00,1.74,1.26,1.26
2017-01-17 22:00:00,1.74,1.27,1.24
2017-01-17 23:00:00,1.73,1.24,1.26
2017-01-18 00:00:00,1.73,1.24,1.22
2017-01-18 01:00:00,1.7,1.23,1.23
2017-01-18 02:00:00,1.69,1.24,1.23
2017-01-18 03:00:00,1.67,1.23,1.22
2017-01-18 04:00:00,1.68,1.24,1.2
2017-01-18 05:00:00,1.67,1.23,1.21
2017-01-18 06:00:00,1.68,1.22,1.21
2017-01-18 07:00:00,1.69,1.23,1.23
2017-01-18 08:00:00,1.71,1.24,1.24
2017-01-18 09:00:00,1.77,1.24,1.24
2017-01-18 10:00:00,1.79,1.26,1.24
2017-01-18 11:00:00,1.76,1.25,1.22
2017-01-18 12:00:00,1.75,1.24,1.22
2017-01-18 13:00:00,1.72,1.23,1.2
2017-01-18 14:00:00,1.72,1.23,1.21
2017-01-18 15:00:00,1.71,1.23,1.2
2017-01-18 16:00:00,1.71,1.23,1.19
2017-01-18 17:00:00,1.73,1.22,1.21
2017-01-18 18:00:00,1.75,1.23,1.22
2017-01-18 19:00:00,1.78,1.24,1.23
2017-01-18 20:00:00,1.78,1.25,1.22
2017-01-18 21:00:00,1.79,1.24,1.23
2017-01-18 22:00:00,1.77,1.24,1.25
2017-01-18 23:00:00,1.75,1.24,1.23
2017-01-19 00:00:00,1.73,1.23,1.22
2017-01-19 01:00:00,1.71,1.23,1.22
2017-01-19 02:00:00,1.71,1.23,1.21
2017-01-19 03:00:00,1.71,1.23,1.21
2017-01-19 04:00:00,1.72,1.23,1.22
2017-01-19 05:00:00,1.7,1.24,1.22
2017-01-19 06:00:00,1.7,1.24,1.22
2017-01-19 07:00:00,1.7,1.23,1.22
2017-01-19 08:00:00,1.73,1.23,1.24
2017-01-19 09:00:00,1.76,1.24,1.25
2017-01-19 10:00:00,1.79,1.24,1.23
2017-01-19 11:00:00,1.78,1.25,1.24
2017-01-19 12:00:00,1.78,1.24,1.24
2017-01-19 13:00:00,1.77,1.24,1.22
2017-01-19 14:00:00,1.76,1.23,1.22
2017-01-19 15:00:00,1.75,1.22,1.21
2017-01-19 16:00:00,1.74,1.22,1.22
2017-01-19 17:00:00,1.76,1.23,1.21
2017-01-19 18:00:00,1.77,1.24,1.22
2017-01-19 19:00:00,1.76,1.24,1.22
2017-01-19 20:00:00,1.76,1.24,1.23
2017-01-19 21:00:00,1.76,1.24,1.22
2017-01-19 22:00:00,1.75,1.24,1.22
2017-01-19 23:00:00,1.74,1.24,1.23
2017-01-20 00:00:00,1.72,1.23,1.22
2017-01-20 01:00:00,1.71,1.24,1.22
2017-01-20 02:00:00,1.7,1.23,1.21
2017-01-20 03:00:00,1.7,1.23,1.21
2017-01-20 04:00:00,1.69,1.23,1.21
2017-01-20 05:00:00,1.69,1.23,1.21
2017-01-20 06:00:00,1.7,1.23,1.22
2017-01-20 07:00:00,1.7,1.23,1.22
2017-01-20 08:00:00,1.73,1.24,1.22
2017-01-20 09:00:00,1.76,1.24,1.23
2017-01-20 10:00:00,1.77,1.25,1.23
2017-01-20 11:00:00,1.77,1.25,1.22
2017-01-20 12:00:00,1.77,1.26,1.22
2017-01-20 13:00:00,1.79,1.26,1.21
2017-01-20 14:00:00,1.78,1.25,1.21
2017-01-20 15:00:00,1.77,1.24,1.22
2017-01-20 16:00:00,1.78,1.24,1.22
2017-01-20 17:00:00,1.79,1.25,1.21
2017-01-20 18:00:00,1.78,1.25,1.21
2017-01-20 19:00:00,1.78,1.25,1.22
2017-01-20 20:00:00,1.8,1.26,1.23
2017-01-20 21:00:00,1.8,1.26,1.23
2017-01-20 22:00:00,1.8,1.25,1.22
2017-01-20 23:00:00,1.79,1.25,1.23
2017-01-21 00:00:00,1.77,1.24,1.23
2017-01-21 01:00:00,1.74,1.24,1.23
2017-01-21 02:00:00,1.74,1.24,1.22
2017-01-21 03:00:00,1.73,1.23,1.21
2017-01-21 04:00:00,1.72,1.24,1.21
2017-01-21 05:00:00,1.71,1.23,1.21
2017-01-21 06:00:00,1.7,1.23,1.21
2017-01-21 07:00:00,1.69,1.23,1.21
2017-01-21 08:00:00,1.7,1.23,1.21
2017-01-21 09:00:00,1.72,1.22,1.21
2017-01-21 10:00:00,1.73,1.23,1.22
2017-01-21 11:00:00,1.73,1.23,1.22
2017-01-21 12:00:00,1.74,1.23,1.2
2017-01-21 13:00:00,1.75,1.23,1.21
2017-01-21 14:00:00,1.74,1.23,1.21
2017-01-21 15:00:00,1.74,1.23,1.2
2017-01-21 16:00:00,1.74,1.23,1.21
2017-01-21 17:00:00,1.74,1.23,1.21
2017-01-21 18:00:00,1.76,1.23,1.22
2017-01-21 19:00:00,1.77,1.24,1.26
2017-01-21 20:00:00,1.83,1.26,1.26
2017-01-21 21:00:00,1.9,1.26,1.3
2017-01-21 22:00:00,1.94,1.31,1.33
2017-01-21 23:00:00,2.07,1.29,1.38
2017-01-22 00:00:00,2.12,1.29,1.35
2017-01-22 01:00:00,2.03,1.33,1.41
2017-01-22 02:00:00,2.35,1.33,1.35
2017-01-22 03:00:00,2.27,1.32,1.38
2017-01-22 04:00:00,2.24,1.32,1.33
2017-01-22 05:00:00,2.21,1.3,1.35
2017-01-22 06:00:00,2.02,1.29,1.51
2017-01-22 07:00:00,2.1,1.31,1.51
2017-01-22 08:00:00,2.06,1.34,1.57
2017-01-22 09:00:00,2.35,1.32,1.66
2017-01-22 10:00:00,3.48,1.9,1.6
2017-01-22 11:00:00,3.11,2.66,1.74
2017-01-22 12:00:00,2.41,2.29,1.72
2017-01-22 13:00:00,2.32,2.22,1.74
2017-01-22 14:00:00,2.1,1.75,1.46
2017-01-22 15:00:00,1.78,1.73,1.39
2017-01-22 16:00:00,1.74,1.26,1.31
2017-01-22 17:00:00,1.76,1.27,1.23
2017-01-22 18:00:00,1.75,1.25,1.23
2017-01-22 19:00:00,1.76,1.24,1.24
2017-01-22 20:00:00,1.76,1.25,1.23
2017-01-22 21:00:00,1.73,1.23,1.21
2017-01-22 22:00:00,1.73,1.24,1.2
2017-01-22 23:00:00,1.75,1.23,1.21
2017-01-23 00:00:00,1.76,1.25,1.22
2017-01-23 01:00:00,1.75,1.25,1.22
2017-01-23 02:00:00,1.73,1.25,1.23
2017-01-23 03:00:00,1.74,1.27,1.24
2017-01-23 04:00:00,1.71,1.29,1.29
2017-01-23 05:00:00,1.73,1.31,1.35
2017-01-23 06:00:00,1.75,1.3,1.3
2017-01-23 07:00:00,1.76,1.32,1.33
2017-01-23 08:00:00,1.77,1.31,1.3
2017-01-23 09:00:00,1.86,1.31,1.34
2017-01-23 10:00:00,1.82,1.34,1.3
2017-01-23 11:00:00,1.79,1.36,1.25
2017-01-23 12:00:00,1.76,1.33,1.24
2017-01-23 13:00:00,1.76,1.31,1.21
2017-01-23 14:00:00,1.69,1.3,1.24
2017-01-23 15:00:00,1.69,1.26,1.23
2017-01-23 16:00:00,1.73,1.24,1.25
2017-01-23 17:00:00,1.73,1.23,1.26
2017-01-23 18:00:00,1.74,1.22,1.61
2017-01-23 19:00:00,1.8,1.24,1.23
2017-01-23 20:00:00,1.91,1.24,1.34
2017-01-23 21:00:00,1.84,1.26,1.36
2017-01-23 22:00:00,1.95,1.27,1.28
2017-01-23 23:00:00,1.89,1.28,1.32
2017-01-24 00:00:00,1.87,1.31,1.33
2017-01-24 01:00:00,1.86,1.28,1.31
2017-01-24 02:00:00,1.9,1.3,1.34
2017-01-24 03:00:00,1.78,1.3,1.3
2017-01-24 04:00:00,1.85,1.28,1.58
2017-01-24 05:00:00,2.13,1.31,1.48
2017-01-24 06:00:00,2.03,1.32,1.5
